metric_id,label,value,unit,section,sample,split,cost_basis,source_artifact,source_json_pointer,source_sha256,contract_refs
accepted_events,Accepted event-log rows,8244,events,sample,BTCUSDT 5m accepted event log,development,not_applicable,tools/strategy_lab_phase3/artifacts/pandas/summary.json,/accepted_event_count,4d22cbf56b554e992862c29a5396a9faf0e47bd6d90ef3b7cb4dcb84bae936ec,"[""/entry"",""/outcome"",""/validation""]"
development_events,Development events evaluated,6640,events,sample,BTCUSDT 5m accepted event log,development,not_applicable,tools/strategy_lab_phase3/artifacts/pandas/summary.json,/development_event_count,4d22cbf56b554e992862c29a5396a9faf0e47bd6d90ef3b7cb4dcb84bae936ec,"[""/entry"",""/outcome"",""/validation""]"
hidden_holdout_events,Final-holdout events kept hidden,1604,events,sample,BTCUSDT 5m accepted event log,final_holdout_locked,not_applicable,tools/strategy_lab_phase3/artifacts/pandas/summary.json,/final_holdout_event_count_hidden,4d22cbf56b554e992862c29a5396a9faf0e47bd6d90ef3b7cb4dcb84bae936ec,"[""/entry"",""/outcome"",""/validation""]"
resolved_barrier_events,Resolved development barrier outcomes,6638,events,sample,BTCUSDT 5m accepted event log,development,not_applicable,tools/strategy_lab_phase3/artifacts/pandas/summary.json,/resolved_event_count,4d22cbf56b554e992862c29a5396a9faf0e47bd6d90ef3b7cb4dcb84bae936ec,"[""/entry"",""/outcome"",""/validation""]"
target_events,Target-first development outcomes,1141,events,sample,BTCUSDT 5m accepted event log,development,not_applicable,tools/strategy_lab_phase3/artifacts/pandas/summary.json,/target_count,4d22cbf56b554e992862c29a5396a9faf0e47bd6d90ef3b7cb4dcb84bae936ec,"[""/entry"",""/outcome"",""/validation""]"
historical_success_rate,Historical empirical target-first rate,0.17188912322988853,fraction,sample,BTCUSDT 5m accepted event log,development,net_after_declared_costs,tools/strategy_lab_phase3/artifacts/pandas/summary.json,/historical_empirical_success_rate,4d22cbf56b554e992862c29a5396a9faf0e47bd6d90ef3b7cb4dcb84bae936ec,"[""/entry"",""/outcome"",""/validation""]"
ambiguous_events,Ambiguous higher-timeframe events,4,events,exclusions,BTCUSDT 5m accepted event log,development,not_applicable,tools/strategy_lab_phase3/artifacts/pandas/summary.json,/ambiguous_event_count,4d22cbf56b554e992862c29a5396a9faf0e47bd6d90ef3b7cb4dcb84bae936ec,"[""/entry"",""/outcome"",""/validation""]"
overlap_skipped_events,Candidate events excluded by overlap policy,23662,events,exclusions,BTCUSDT 5m accepted event log,development,not_applicable,tools/strategy_lab_phase3/artifacts/pandas/summary.json,/overlap_skipped_count,4d22cbf56b554e992862c29a5396a9faf0e47bd6d90ef3b7cb4dcb84bae936ec,"[""/entry"",""/outcome"",""/validation""]"
cooldown_skipped_events,Candidate events excluded by cooldown,3107,events,exclusions,BTCUSDT 5m accepted event log,development,not_applicable,tools/strategy_lab_phase3/artifacts/pandas/summary.json,/cooldown_skipped_count,4d22cbf56b554e992862c29a5396a9faf0e47bd6d90ef3b7cb4dcb84bae936ec,"[""/entry"",""/outcome"",""/validation""]"
incomplete_outcome_events,Events excluded for incomplete outcomes,1,events,exclusions,BTCUSDT 5m accepted event log,development,not_applicable,tools/strategy_lab_phase3/artifacts/pandas/summary.json,/incomplete_outcome_skipped_count,4d22cbf56b554e992862c29a5396a9faf0e47bd6d90ef3b7cb4dcb84bae936ec,"[""/entry"",""/outcome"",""/validation""]"
walk_forward_fold_count,Anchored walk-forward folds,2,folds,validation,development validation process,training_and_validation_only,not_applicable,tools/strategy_lab_phase5/artifacts/validation-report.json,/walk_forward/fold_count,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/validation""]"
corrected_hypothesis_count,Declared corrected hypotheses,4,hypotheses,validation,development validation process,training_and_validation_only,not_applicable,tools/strategy_lab_phase5/artifacts/validation-report.json,/multiple_testing/hypothesis_count,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/validation""]"
corrected_positive_hypotheses,Positive hypotheses after correction,0,hypotheses,validation,development validation process,training_and_validation_only,not_applicable,tools/strategy_lab_phase5/artifacts/validation-report.json,/multiple_testing/rejected_hypothesis_count,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/validation""]"
adversarial_checks_rejected,Deliberately bad inputs rejected,5,checks,validation,development validation process,training_and_validation_only,not_applicable,tools/strategy_lab_phase5/artifacts/validation-report.json,/adversarial_checks/rejected_check_count,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/validation""]"
holdout_opened,Final holdout opened,false,boolean,validation,development validation process,training_and_validation_only,not_applicable,tools/strategy_lab_phase5/artifacts/validation-report.json,/holdout/holdout_opened,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/validation""]"
forward_1_mean_net_return,1-bar Mean net return,-0.0010964058523784878,fraction,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/1/mean_net_return,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_1_median_net_return,1-bar Median net return,-0.001116824383169,fraction,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/1/median_net_return,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_1_mean_ci_low,1-bar Newey-West mean CI low,-0.0011256515886688757,fraction,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/1/newey_west/confidence_interval/0,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_1_mean_ci_high,1-bar Newey-West mean CI high,-0.0010671601160881,fraction,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/1/newey_west/confidence_interval/1,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_1_one_sided_p_value,1-bar One-sided p-value for positive mean,1.0,p_value,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/1/newey_west/p_value_one_sided_greater,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_1_effective_sample_size,1-bar Effective sample size,6640.0,events,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/1/newey_west/effective_sample_size,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_3_mean_net_return,3-bar Mean net return,-0.0011443168918241623,fraction,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/3/mean_net_return,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_3_median_net_return,3-bar Median net return,-0.00117354087290845,fraction,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/3/median_net_return,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_3_mean_ci_low,3-bar Newey-West mean CI low,-0.0011948178450998524,fraction,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/3/newey_west/confidence_interval/0,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_3_mean_ci_high,3-bar Newey-West mean CI high,-0.0010938159385484722,fraction,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/3/newey_west/confidence_interval/1,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_3_one_sided_p_value,3-bar One-sided p-value for positive mean,1.0,p_value,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/3/newey_west/p_value_one_sided_greater,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
forward_3_effective_sample_size,3-bar Effective sample size,6640.0,events,forward_returns,development events with available outcomes,training_and_validation_only,net_after_fee_slippage_and_funding,tools/strategy_lab_phase5/artifacts/validation-report.json,/uncertainty_by_horizon/3/newey_west/effective_sample_size,6aee2ec2ab28ff11a26bc5b1bba3b62e7610138226bd798fb11caa1b67ef4a8c,"[""/outcome/forward_horizons_bars"",""/execution"",""/validation""]"
